jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;erststimmegueltig;zweitstimmegueltig;cdu1;cdu2;csu1;csu2;spd1;spd2;fdp1;fdp2;gru1;gru2;pds1;pds2
1990;1;Flensburg – Schleswig;1;0;209303;160261;158665;158884;74945;68503;0;0;67074;64493;8150;15865;6107;6208;0;446
1990;2;Nordfriesland – Dithmarschen-Nord;1;0;168535;127975;126593;126786;62110;58763;0;0;49866;47251;8316;13608;4858;4580;0;235
1990;3;Steinburg – Dithmarschen-Süd;1;0;161057;125800;124161;124297;59992;56562;0;0;51460;48425;6877;12384;4223;4260;0;252
1990;4;Rendsburg-Eckernförde;1;0;196856;157194;155514;155814;73743;69706;0;0;63416;59243;10641;17493;5820;5954;0;415
1990;5;Kiel;1;0;192930;146889;145191;145654;52841;50934;0;0;74108;66317;9024;15441;6978;8814;0;916
1990;6;Plön – Neumünster;1;0;160016;126067;124469;124831;55370;53607;0;0;54487;50775;8133;13036;4777;4463;0;433
1990;7;Pinneberg;1;0;211947;172925;170624;171667;74943;72541;0;0;69159;64387;14746;22799;8254;7143;0;751
1990;8;Segeberg – Stormarn-Nord;1;0;230925;183903;182236;182556;89752;83337;0;0;66843;63618;13412;23965;7533;6833;0;520
1990;9;Ostholstein;1;0;152354;120593;119265;119390;59621;55708;0;0;46539;44303;7178;12537;4242;3931;0;263
1990;10;Herzogtum Lauenburg – Stormarn-Süd;1;0;229520;188489;186966;187033;88587;83460;0;0;70078;65224;15286;25399;7643;7408;0;659
1990;11;Lübeck;1;0;172415;129441;127749;127764;54976;52862;0;0;55056;51972;8697;13109;5627;5460;0;606
1990;12;Hamburg-Mitte;2;0;168044;121994;120506;120753;41020;39559;0;0;56958;53909;7163;11512;10054;8877;0;2050
1990;13;Hamburg-Altona;2;0;175112;137260;135916;136187;53965;50126;0;0;56877;51707;10317;17969;9885;9962;0;1928
1990;14;Hamburg-Eimsbüttel;2;0;183256;144870;143689;143948;52405;50111;0;0;62500;58505;11474;17685;12517;10920;0;2214
1990;15;Hamburg-Nord;2;0;204378;168569;167109;167516;69464;62838;0;0;66565;62773;15566;25001;10900;11031;0;1638
1990;16;Hamburg-Wandsbek;2;0;197290;157596;156298;156502;62802;59255;0;0;67402;64370;12293;19658;7505;6606;0;1041
1990;17;Hamburg-Bergedorf;2;0;189918;145161;143390;143665;56633;54726;0;0;65095;61728;9127;15007;6337;5467;0;810
1990;18;Hamburg-Harburg;2;0;145639;113106;112058;112156;44603;42718;0;0;53638;49538;5638;10461;3515;4043;0;677
1990;19;Aurich – Emden;3;0;174206;135768;133837;134161;42370;41421;0;0;76152;74232;5438;9504;7994;6168;0;371
1990;20;Unterems;3;0;196205;153822;152238;152548;86231;78340;0;0;54512;55733;4683;9874;6101;5624;0;269
1990;21;Friesland – Wilhelmshaven;3;0;155491;118105;116840;117036;49686;46643;0;0;50918;51007;6338;11726;5975;4837;0;276
1990;22;Oldenburg – Ammerland;3;0;223357;171340;169553;169831;62467;60378;0;0;73996;71240;17538;22875;12205;10840;0;872
1990;23;Delmenhorst – Wesermarsch – Oldenburg-Land;3;0;210696;162081;160191;160680;59042;59835;0;0;72799;68293;15599;20686;8732;7676;0;388
1990;24;Cuxhaven;3;0;152995;120148;118919;119224;55023;52305;0;0;50592;47193;6287;11777;5017;4929;0;234
1990;25;Stade – Rotenburg I;3;0;193697;154022;152533;152848;73808;71554;0;0;57380;55445;12836;16096;6244;6223;0;350
1990;26;Mittelems;3;0;198390;163128;161773;162057;92583;92857;0;0;55155;48607;6404;12799;5958;5058;0;221
1990;27;Cloppenburg – Vechta;3;0;166777;136249;134730;135078;96684;94225;0;0;26721;25658;5331;9347;4913;3862;0;135
1990;28;Diepholz;3;0;150807;118609;117535;117830;54454;50792;0;0;42622;42016;12590;16806;6508;5668;0;255
1990;29;Verden – Osterholz;3;0;168950;136227;134913;135174;55159;53778;0;0;60119;53186;8741;16177;8455;8378;0;504
1990;30;Soltau-Fallingbostel – Rotenburg II;3;0;148700;119005;117756;118083;59976;58576;0;0;41699;39271;7893;12102;6110;5123;0;229
1990;31;Lüneburg – Lüchow-Dannenberg;3;0;149035;118652;117494;117753;54587;52434;0;0;44057;41627;8792;13215;8139;7096;0;436
1990;32;Osnabrück-Land;3;0;167203;136836;135438;135800;69151;66317;0;0;50017;47270;8122;14106;6311;5402;0;221
1990;33;Stadt Osnabrück;3;0;188587;152674;151518;151628;71798;67860;0;0;58389;56259;9120;15518;8895;8028;0;561
1990;34;Nienburg – Schaumburg;3;0;214276;170924;169504;169629;77144;73067;0;0;74895;68730;8550;16404;6623;7076;0;351
1990;35;Harburg;3;0;157244;131127;130012;130385;63965;59987;0;0;44988;42265;11206;18805;7609;5795;0;418
1990;36;Stadt Hannover I;3;0;191915;153728;152389;152619;59583;58092;0;0;66546;62752;12652;17540;8798;8940;0;923
1990;37;Stadt Hannover II;3;0;198160;158497;156868;157201;59978;58065;0;0;69041;64321;12381;17965;10787;11396;0;1370
1990;38;Hannover-Land I;3;0;233944;193079;191165;191604;88417;83188;0;0;78322;72001;13605;23507;7677;7909;0;528
1990;39;Celle – Uelzen;3;0;208374;169376;167670;168076;86043;83590;0;0;60619;55082;11495;19078;5996;5614;0;363
1990;40;Gifhorn – Peine;3;0;203004;167646;166082;166199;80220;76996;0;0;67515;64009;9351;14871;6675;5897;0;364
1990;41;Hameln-Pyrmont – Holzminden;3;0;190839;156852;155066;155523;64132;64028;0;0;71262;66753;10696;14986;6259;5748;0;329
1990;42;Hannover-Land II;3;0;208714;175648;173921;174279;78136;72940;0;0;74030;69501;11713;20195;7352;7039;0;525
1990;43;Hildesheim;3;0;223207;186776;184873;185308;76204;79514;0;0;87577;78236;10182;16162;8336;6761;0;538
1990;44;Salzgitter – Wolfenbüttel;3;0;180519;146483;145212;145260;65799;65753;0;0;65863;59778;6016;11248;4496;4561;0;450
1990;45;Braunschweig;3;0;207201;164350;162722;163320;72131;69746;0;0;64550;62344;11305;17436;9986;8816;0;1032
1990;46;Helmstedt – Wolfsburg;3;0;176462;142585;141106;141211;71335;70018;0;0;54149;51910;7081;10969;5613;4482;0;348
1990;47;Goslar;3;0;151767;121860;120420;120882;57657;55808;0;0;48289;46186;8591;12058;5029;3491;0;308
1990;48;Northeim – Osterode;3;0;169812;140298;138707;139078;60597;57092;0;0;64983;61517;6891;12692;4373;4635;0;283
1990;49;Göttingen;3;0;199848;164308;162553;163080;78818;64469;0;0;63804;63506;7068;18085;9589;12377;0;1202
1990;50;Bremen-Ost;4;0;204698;162319;160458;160845;56319;52677;0;0;62402;60160;16168;24252;18459;15722;0;2083
1990;51;Bremen-West;4;0;140616;105737;104506;104636;28597;28641;0;0;52390;48508;8105;11775;9758;9012;0;1462
1990;52;Bremerhaven – Bremen-Nord;4;0;178157;132411;130723;130838;42503;41313;0;0;60505;59828;11586;14603;9341;8106;0;674
1990;53;Aachen;5;0;170863;135346;133843;134191;60208;56704;0;0;56343;48264;7098;15234;7828;9974;0;554
1990;54;Kreis Aachen;5;0;222475;180848;178379;178551;79192;77420;0;0;79711;75839;8138;13721;7746;6502;0;276
1990;55;Heinsberg;5;0;165422;133829;131411;131473;73277;69573;0;0;43504;42134;7086;12139;4826;4007;0;142
1990;56;Düren;5;0;185823;150932;148990;148903;66686;68022;0;0;61545;57083;11605;14592;5472;5028;0;196
1990;57;Erftkreis I;5;0;225573;182161;179345;179808;66319;67936;0;0;93428;80100;9985;20217;6475;6606;0;261
1990;58;Euskirchen – Erftkreis II;5;0;222448;179509;176796;177183;83970;80924;0;0;63740;61632;18640;23558;6708;6275;0;248
1990;59;Köln I;5;0;159553;120026;118745;119002;38951;36892;0;0;53730;51789;10938;15115;11659;10338;0;940
1990;60;Köln II;5;0;163060;130300;129236;129388;54133;47946;0;0;51213;46263;12471;22816;8463;8520;0;593
1990;61;Köln III;5;0;188755;138386;136785;137055;48652;45143;0;0;64813;62848;9192;15187;9849;8201;0;746
1990;62;Köln IV;5;0;172964;127211;125618;125947;44178;41208;0;0;61931;59824;8734;14072;7098;6141;0;538
1990;63;Bonn;5;0;219665;179310;177567;177923;79543;76445;0;0;62406;54581;17566;29202;11955;11753;0;916
1990;64;Rhein-Sieg-Kreis I;5;0;195472;157974;156115;156475;71860;68906;0;0;62416;56014;11940;20420;7504;6625;0;356
1990;65;Rhein-Sieg-Kreis II;5;0;185845;154275;152383;152846;80302;73383;0;0;47508;44091;13826;24129;9350;6925;0;371
1990;66;Oberbergischer Kreis;5;0;196294;157232;155495;155663;77942;71769;0;0;56770;54820;10684;18702;6131;5796;0;254
1990;67;Rheinisch-Bergischer Kreis I;5;0;168063;138280;137050;137323;65971;60783;0;0;47057;43979;11915;21735;8088;6679;0;340
1990;68;Leverkusen – Rheinisch-Bergischer Kreis II;5;0;154691;123774;122136;122672;50282;47990;0;0;51781;49867;9367;15774;6835;5061;0;303
1990;69;Wuppertal I;5;0;147612;114209;113268;113310;36027;39081;0;0;45288;45640;21747;17854;6461;6165;0;693
1990;70;Wuppertal II;5;0;138305;104898;103860;103896;36928;36464;0;0;46827;43776;11019;14729;4800;4386;0;430
1990;71;Solingen – Remscheid;5;0;211541;161272;159748;159836;67045;62061;0;0;66112;62713;14437;22786;5979;6000;0;591
1990;72;Mettmann I;5;0;201894;160515;158738;158957;70078;65122;0;0;65924;58468;12681;23061;8208;7353;0;465
1990;73;Mettmann II;5;0;175683;139247;137759;137930;67866;56376;0;0;53262;53677;8379;18199;6823;5456;0;421
1990;74;Düsseldorf I;5;0;229105;178531;177100;177257;75518;70609;0;0;68181;65124;17380;25450;10174;9921;0;930
1990;75;Düsseldorf II;5;0;206691;156844;155236;155526;59734;57850;0;0;69175;66086;10844;16849;9459;8355;0;746
1990;76;Neuss I;5;0;151158;118478;116999;117324;58715;53974;0;0;43873;41835;7373;13266;5432;4503;0;267
1990;77;Neuss II;5;0;163624;132596;131188;131468;63411;61030;0;0;48972;44306;11298;17555;6102;5082;0;251
1990;78;Mönchengladbach;5;0;200301;144176;142653;142804;66914;66051;0;0;50601;48769;14467;17570;7185;5711;0;374
1990;79;Krefeld;5;0;177039;133719;132236;132487;63617;55472;0;0;51318;51224;7022;15785;6815;6083;0;355
1990;80;Viersen;5;0;206012;159812;157861;158278;78227;74840;0;0;55134;53484;12546;19747;7901;6153;0;261
1990;81;Kleve;5;0;199466;159180;156966;157153;82441;80786;0;0;53161;51388;10736;15650;7706;5660;0;199
1990;82;Wesel I;5;0;173620;136498;135236;135406;51204;51200;0;0;65562;60192;8988;14736;6783;5883;0;250
1990;83;Wesel II;5;0;161988;127796;126068;126556;43497;43932;0;0;68055;62316;7913;11810;5698;4893;0;259
1990;84;Duisburg I;5;0;205429;158548;156786;156916;49304;48552;0;0;85726;82854;7538;13021;8451;6444;0;712
1990;85;Duisburg II;5;0;185360;132846;131131;131126;37121;37042;0;0;78692;76992;5030;7900;5256;4054;0;369
1990;86;Oberhausen;5;0;172900;129843;127678;128672;40652;39832;0;0;70908;69567;6230;10245;5784;4428;0;451
1990;87;Mülheim;5;0;141355;112227;110814;111166;39236;36664;0;0;51739;52547;8168;13639;8689;4944;0;326
1990;88;Essen I;5;0;159577;119614;118336;118414;39401;38415;0;0;62030;60068;5851;10379;6667;4928;0;450
1990;89;Essen II;5;0;143285;101609;100567;100579;29583;29300;0;0;57951;56621;4032;6951;4489;3180;0;345
1990;90;Essen III;5;0;192824;151647;150251;150467;61692;57120;0;0;62078;60061;12334;20761;9319;7565;0;606
1990;91;Recklinghausen I;5;0;181981;140682;138666;139112;49109;48472;0;0;72675;70770;6778;10501;7566;5224;0;384
1990;92;Recklinghausen II – Borken I;5;0;219268;172540;170557;170888;68049;67397;0;0;81128;78514;8096;13758;8901;6294;0;350
1990;93;Gelsenkirchen I;5;0;135187;97113;95639;96032;29312;28903;0;0;53461;53823;3706;5802;4920;3284;0;372
1990;94;Gelsenkirchen II – Recklinghausen III;5;0;138417;105789;104239;104694;33753;33395;0;0;57284;56877;4255;6968;5195;3659;0;289
1990;95;Bottrop – Recklinghausen IV;5;0;152866;119184;117864;118038;39431;38934;0;0;65976;64599;4274;7677;4395;3254;0;352
1990;96;Borken II;5;0;219963;178302;176327;176433;104246;101121;0;0;54065;52080;7612;14222;7037;5582;0;232
1990;97;Coesfeld – Steinfurt I;5;0;214764;177915;176177;176305;100258;94449;0;0;54036;52545;10267;18440;9021;7286;0;243
1990;98;Steinfurt II;5;0;219756;178702;176590;176924;79137;76738;0;0;74684;70867;10619;18158;8225;7152;0;220
1990;99;Münster;5;0;202664;166764;165237;165631;70612;66096;0;0;60745;56434;14596;25079;15634;13761;0;929
1990;100;Warendorf;5;0;192092;157611;155290;155814;77695;75164;0;0;53861;53253;13243;17577;7698;6088;0;270
1990;101;Gütersloh;5;0;226719;182870;180619;181180;87696;87524;0;0;65574;59837;15059;20698;8534;8067;0;305
1990;102;Bielefeld;5;0;239109;192642;189914;190497;80998;74079;0;0;81255;75614;11678;22301;11837;12270;0;866
1990;103;Herford;5;0;186853;149783;147517;147769;61887;57799;0;0;64587;63303;9308;15950;6668;5895;0;256
1990;104;Minden-Lübbecke;5;0;235311;187011;184443;184697;72798;72067;0;0;86552;79956;13736;20577;8000;7351;0;381
1990;105;Lippe I;5;0;168418;136889;134643;135150;54778;52526;0;0;60620;56721;10198;15738;6760;5753;0;239
1990;106;Höxter – Lippe II;5;0;208978;169739;167296;167886;86430;83446;0;0;58738;55673;10663;17007;8048;6658;0;260
1990;107;Paderborn;5;0;183084;146017;144135;144451;83885;82934;0;0;42185;37987;7774;13736;5960;5691;0;256
1990;108;Hagen;5;0;163091;123100;121628;121806;47408;45110;0;0;56971;54724;7839;12378;5919;4764;0;323
1990;109;Ennepe-Ruhr-Kreis I;5;0;190159;154383;152840;153064;54998;51981;0;0;74129;72303;10798;17517;7831;6192;0;439
1990;110;Bochum I;5;0;196465;153032;150639;151564;49141;47420;0;0;82156;81126;6809;11460;8997;6677;0;678
1990;111;Bochum II – Ennepe-Ruhr-Kreis II;5;0;197139;156242;153987;154675;47150;45054;0;0;85395;83740;7332;13372;10288;7616;0;627
1990;112;Herne;5;0;134274;100638;99335;99801;30493;29653;0;0;57985;57491;3525;5861;5008;3276;0;340
1990;113;Dortmund I;5;0;146373;109191;107863;108053;34681;33370;0;0;55328;54940;5283;8662;8226;6521;0;735
1990;114;Dortmund II;5;0;138383;106690;105190;105610;30360;30017;0;0;61917;61070;5024;7147;4949;3546;0;308
1990;115;Dortmund III;5;0;170258;136784;135373;135553;43592;41835;0;0;70369;68960;9530;14284;7866;6416;0;520
1990;116;Unna I;5;0;198901;161225;159378;159218;51852;50770;0;0;84360;81817;9961;15232;9483;6586;0;354
1990;117;Hamm – Unna II;5;0;240030;188015;185596;185906;74598;72684;0;0;89086;86339;8517;14536;7610;6415;0;333
1990;118;Soest;5;0;207542;165911;164002;164241;81066;77581;0;0;60947;58116;9771;17441;8153;6377;0;224
1990;119;Hochsauerlandkreis;5;0;205488;167848;166055;166167;91989;89102;0;0;55026;52365;10010;15675;5663;4860;0;157
1990;120;Siegen-Wittgenstein I;5;0;170885;136024;134384;134894;61268;56091;0;0;57277;54166;8225;15742;5060;4754;0;323
1990;121;Olpe – Siegen-Wittgenstein II;5;0;145517;118638;117098;117542;65779;63030;0;0;39405;37729;6254;11116;4301;3105;0;136
1990;122;Märkischer Kreis I;5;0;162377;124390;123210;123070;59734;55663;0;0;46279;44284;7242;14105;5532;4352;0;190
1990;123;Märkischer Kreis II;5;0;164189;125369;124204;124046;50883;48476;0;0;56183;51112;8845;15694;4096;3912;0;246
1990;124;Waldeck;6;0;158886;131805;130004;130395;50743;48738;0;0;63195;58668;8249;13696;5492;5073;0;205
1990;125;Kassel;6;0;181608;144481;142152;142845;52810;47364;0;0;66655;62401;10149;17026;10556;10387;0;914
1990;126;Werra-Meißner;6;0;166991;141554;139606;140117;47639;45920;0;0;75124;71289;8748;12590;6951;6195;0;343
1990;127;Schwalm-Eder;6;0;152766;127131;125355;125640;49706;46611;0;0;59956;57584;7716;11870;5916;5231;0;213
1990;128;Hersfeld;6;0;165223;140480;137400;138616;58320;55686;0;0;63704;60741;7507;12092;5510;5321;0;239
1990;129;Marburg;6;0;180471;146849;144701;145112;61187;56284;0;0;59836;58555;8542;14070;11817;9994;0;1147
1990;130;Lahn-Dill;6;0;206247;161317;159186;159761;67091;63365;0;0;72559;67750;9435;15672;7595;6586;0;324
1990;131;Gießen;6;0;208966;168726;165704;166331;67520;64871;0;0;68981;66445;13363;18790;10482;9828;0;680
1990;132;Fulda;6;0;227860;187268;182813;184575;103705;97466;0;0;63886;54878;12533;17195;0;7194;0;326
1990;133;Hochtaunus;6;0;238037;198161;195650;196266;94784;90722;0;0;64196;60262;18244;27632;11120;10287;0;526
1990;134;Wetterau;6;0;202467;163639;161269;161738;71237;67325;0;0;63820;61196;11011;18420;7466;7364;0;368
1990;135;Rheingau-Taunus – Limburg;6;0;207957;169394;166829;167420;85419;79909;0;0;57359;54909;10515;17829;8345;8076;0;342
1990;136;Wiesbaden;6;0;194341;150318;147403;148589;63629;60210;0;0;60963;54409;10157;17635;8259;9082;0;622
1990;137;Hanau;6;0;228938;184529;182298;182534;80512;77588;0;0;73658;68273;11193;18592;9772;9217;0;658
1990;138;Frankfurt am Main I – Main-Taunus;6;0;178490;141538;139957;139869;68059;62336;0;0;47852;45967;9021;16327;7724;7605;0;579
1990;139;Frankfurt am Main II;6;0;154841;119676;118179;118268;51331;48075;0;0;41539;38213;9244;14527;9761;10533;0;1230
1990;140;Frankfurt am Main III;6;0;154770;119502;117697;118054;50493;47050;0;0;44099;40673;7837;12682;10611;10934;0;1254
1990;141;Groß-Gerau;6;0;219227;181403;179141;179594;74300;71689;0;0;74885;69979;10947;18952;11709;11009;0;609
1990;142;Offenbach;6;0;213770;171081;168089;169229;79217;73446;0;0;61959;57609;12908;20348;10424;9920;0;764
1990;143;Darmstadt;6;0;212413;172822;169839;170645;65646;61855;0;0;66805;66173;14210;21692;17613;13895;0;808
1990;144;Odenwald;6;0;247799;204528;200935;201532;89864;86309;0;0;78986;75387;12616;20699;12280;10761;0;557
1990;145;Bergstraße;6;0;192048;157905;155438;155875;72283;69443;0;0;61625;56790;8364;15904;8494;7618;0;329
1990;146;Neuwied;7;0;226789;185531;182304;183629;87081;86018;0;0;70471;66882;13112;19297;7926;6089;0;284
1990;147;Ahrweiler;7;0;177684;144609;142314;142841;77101;75969;0;0;43367;42590;11421;15417;5685;4542;0;188
1990;148;Koblenz;7;0;185693;150303;147872;148750;72231;71714;0;0;54781;50016;11162;17015;6936;5855;0;257
1990;149;Cochem;7;0;137813;115637;112591;113869;59636;60376;0;0;33317;32553;12151;13103;5750;4094;0;162
1990;150;Kreuznach;7;0;186966;150598;147520;148713;59113;59972;0;0;66719;61629;12372;16859;7832;5545;0;242
1990;151;Bitburg;7;0;161007;131735;128395;129274;73483;71399;0;0;36852;35609;8084;12957;5013;4529;0;117
