jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;erststimmegueltig;zweitstimmegueltig;cdu1;cdu2;spd1;spd2;fdp1;fdp2;csu1;csu2;gru1;gru2;pds1;pds2
1994;1;Flensburg - Schleswig;1;0;212186;168760;167087;167170;76171;67461;74308;70416;3720;11575;0;0;9841;13061;0;1614
1994;2;Nordfriesland - Dithmarschen-Nord;1;0;169258;133381;132077;132125;63877;57572;53466;50937;4083;10965;0;0;8998;9551;0;956
1994;3;Steinburg - Dithmarschen-Süd;1;0;162142;130369;128953;129008;61111;55602;54829;51848;3392;9138;0;0;7912;9098;0;1053
1994;4;Rendsburg-Eckernförde;1;0;200647;165099;163478;163647;76592;68775;69822;64463;4749;13035;0;0;9708;12837;0;1494
1994;5;Kiel;1;0;190268;149583;147921;148279;51525;49244;78002;66012;4197;9166;0;0;12303;17715;0;2952
1994;6;Plön - Neumünster;1;0;160140;128964;127208;127678;57319;52721;56064;53722;3745;8310;0;0;8607;9061;0;1391
1994;7;Pinneberg;1;0;216646;181288;179303;179921;80206;74188;74875;68310;6700;15097;0;0;14595;16229;0;2221
1994;8;Segeberg - Stormarn-Nord;1;0;241055;196675;194248;195112;95539;85813;74426;71339;7101;15921;0;0;15025;15501;0;2180
1994;9;Ostholstein;1;0;154611;124768;123399;123531;60627;54939;50908;48253;3119;8846;0;0;7083;8055;0;1065
1994;10;Herzogtum Lauenburg - Stormarn-Süd;1;0;235117;197389;195458;195782;93851;85004;76199;69168;6720;16534;0;0;15560;18071;0;2252
1994;11;Lübeck;1;0;171209;132575;130452;130904;55414;51048;59552;56323;3775;7449;0;0;10178;11174;0;1811
1994;12;Hamburg-Mitte;2;0;162020;121127;120003;120147;37899;35906;54112;50306;3434;6725;0;0;17242;18503;2689;4133
1994;13;Hamburg-Altona;2;0;170351;137562;136172;136433;54415;47177;55168;48583;3904;12179;0;0;18290;20589;0;3866
1994;14;Hamburg-Eimsbüttel;2;0;180307;146598;145531;145628;52934;48750;59471;54527;5246;11146;0;0;21198;23047;2399;3900
1994;15;Hamburg-Nord;2;0;203915;170574;169379;169515;69294;61904;58142;60325;5645;15851;0;0;31547;24126;1742;3297
1994;16;Hamburg-Wandsbek;2;0;193764;156887;155617;155756;61705;57583;67004;63726;4699;10895;0;0;15050;15357;1802;2586
1994;17;Hamburg-Bergedorf;2;0;187362;145112;143759;143871;55018;52212;65364;62750;3843;8395;0;0;11905;12375;1689;2312
1994;18;Hamburg-Harburg;2;0;144193;112502;111162;111450;42809;39866;54267;49640;2716;5928;0;0;8223;9574;0;1902
1994;19;Aurich - Emden;3;0;178189;141939;139268;140213;44462;41008;79580;78569;3638;8470;0;0;10084;8263;0;1205
1994;20;Unterems;3;0;206610;164504;162456;162933;92184;78760;59863;63296;2175;9987;0;0;6315;7055;964;936
1994;21;Friesland - Wilhelmshaven;3;0;155643;123230;121755;122132;49864;45497;58321;56850;3184;8629;0;0;7166;7087;856;1094
1994;22;Oldenburg - Ammerland;3;0;229947;183210;181377;181792;68188;60812;84313;78676;10111;18312;0;0;14467;18110;2172;2437
1994;23;Delmenhorst - Wesermarsch - Oldenburg-Land;3;0;215771;171805;169618;170471;65189;60696;81941;77845;8377;15142;0;0;10371;11060;1486;1714
1994;24;Cuxhaven;3;0;154262;125200;123944;124275;55407;49952;56991;54231;3128;8795;0;0;6589;7365;0;1005
1994;25;Stade - Rotenburg I;3;0;201540;163678;162177;162442;77765;69125;66988;62980;6679;13925;0;0;8424;11684;0;1476
1994;26;Mittelems;3;0;206314;170834;169097;169676;96320;88906;59239;56347;4774;13317;0;0;7647;7933;0;760
1994;27;Cloppenburg - Vechta;3;0;179835;145528;143284;144222;97007;92057;38782;32903;5158;10607;0;0;0;6249;0;523
1994;28;Diepholz;3;0;155958;123940;122672;123013;54384;47287;49425;48709;7170;13965;0;0;9592;8935;0;1176
1994;29;Verden - Osterholz;3;0;177219;145756;144139;144665;57559;52901;68622;60860;4467;11950;0;0;11358;13694;1354;1739
1994;30;Soltau-Fallingbostel - Rotenburg II;3;0;154116;123934;122777;122915;60873;55994;47511;44819;3636;9129;0;0;7312;8390;0;1039
1994;31;Lüneburg - Lüchow-Dannenberg;3;0;159324;128369;127108;127480;56627;52823;52445;47081;4437;9790;0;0;10104;12483;1669;2063
1994;32;Osnabrück-Land;3;0;176722;147066;145424;145988;73927;66745;57511;54240;4216;12479;0;0;8746;9042;0;848
1994;33;Stadt Osnabrück;3;0;193357;160629;159051;159516;74446;67904;66783;61193;5212;12584;0;0;10855;13304;0;1656
1994;34;Nienburg - Schaumburg;3;0;217353;175531;173660;173999;76131;70435;81809;75323;4636;11823;0;0;8064;10647;0;1210
1994;35;Harburg;3;0;164634;139789;138602;138987;66807;60844;50865;46887;6177;13461;0;0;11645;12343;0;1418
1994;36;Stadt Hannover I;3;0;191197;155021;153586;153658;61061;55298;68084;62796;5255;12558;0;0;12322;15499;1663;2410
1994;37;Stadt Hannover II;3;0;197610;160797;159449;159489;62842;55435;71929;62685;4621;13053;0;0;13042;20030;2314;3537
1994;38;Hannover-Land I;3;0;237315;198275;196438;196715;91270;81186;85602;78287;5318;17099;0;0;8713;12563;1161;1710
1994;39;Celle - Uelzen;3;0;211579;172007;170393;170665;84304;78796;69270;61365;4773;13684;0;0;7646;10318;0;1325
1994;40;Gifhorn - Peine;3;0;213701;177763;176023;176159;80486;74067;77903;74183;4751;11590;0;0;8645;10260;0;1237
1994;41;Hameln-Pyrmont - Holzminden;3;0;191534;158507;156638;157106;63651;60087;75937;70811;5555;11692;0;0;8393;9306;0;1113
1994;42;Hannover-Land II;3;0;211743;180118;178279;178490;79841;71438;78591;74010;5423;14358;0;0;9533;12012;1125;1654
1994;43;Hildesheim;3;0;224843;188957;187236;187384;74112;74860;93663;83590;4716;11158;0;0;9627;11337;1184;1565
1994;44;Salzgitter - Wolfenbüttel;3;0;181475;149959;148381;148698;62090;61753;73984;66057;3466;8216;0;0;5748;7737;885;1295
1994;45;Braunschweig;3;0;201833;164334;162714;163141;70026;64895;72608;64614;4694;12474;0;0;9924;14648;1571;2428
1994;46;Helmstedt - Wolfsburg;3;0;175412;143732;142029;142477;67703;64104;60857;58656;4089;8150;0;0;6575;6997;0;1087
1994;47;Goslar;3;0;150158;122677;121293;121675;55345;52270;53000;49541;4601;9236;0;0;6415;6213;0;1261
1994;48;Northeim - Osterode;3;0;168841;140728;139065;139393;57025;53633;68490;64932;4635;9411;0;0;6120;7359;792;936
1994;49;Göttingen;3;0;202552;168881;167226;167539;78503;62096;68079;65985;3326;13136;0;0;12936;20164;1692;2874
1994;50;Bremen-Ost;4;0;199773;162168;160013;159879;56770;50670;69007;63720;6184;14703;0;0;19605;21485;3371;4801
1994;51;Bremen-West;4;0;135932;104159;102373;102530;29005;26981;52601;50091;3305;5730;0;0;10990;12088;2706;3654
1994;52;Bremerhaven - Bremen-Nord;4;0;174322;134282;132097;131840;43931;41412;66303;65500;5600;7976;0;0;9861;10081;1773;2289
1994;53;Aachen;5;0;171634;141877;138987;139938;64231;56534;58930;48404;4148;12954;0;0;9239;16686;0;2109
1994;54;Kreis Aachen;5;0;221483;186270;181527;181590;80931;74442;83437;79719;4172;10416;0;0;9738;10698;0;1218
1994;55;Heinsberg;5;0;169767;142412;137625;138147;73486;68046;49394;48956;3876;9186;0;0;8561;7929;0;765
1994;56;Düren;5;0;188853;158145;153422;154533;70897;68750;66986;62393;5439;9784;0;0;8853;8918;0;954
1994;57;Erftkreis I;5;0;228301;191041;185193;187676;71737;69730;94801;84663;5478;14068;0;0;10055;13002;898;1342
1994;58;Euskirchen - Erftkreis II;5;0;226723;189725;183819;185701;88316;80979;71735;69381;9373;16415;0;0;10619;12472;0;1207
1994;59;Köln I;5;0;158633;126249;124037;124505;41303;37437;55842;50538;5581;10370;0;0;16646;19368;1708;2856
1994;60;Köln II;5;0;161237;132984;131182;131450;56637;47218;52846;45337;6123;17242;0;0;12176;16712;1145;1838
1994;61;Köln III;5;0;185922;144146;140962;141914;49111;44991;67754;63623;4190;9863;0;0;14504;16064;1653;2493
