jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;erststimmegueltig;zweitstimmegueltig;spd1;spd2;cdu1;cdu2;csu1;csu2;gru1;gru2;fdp1;fdp2;pds1;pds2
1998;1;Flensburg - Schleswig;1;0;213986;173484;171121;171118;85820;80745;72516;60513;0;0;5526;10861;3094;11250;1750;2269
1998;2;Nordfriesland - Dithmarschen-Nord;1;0;171687;138967;136358;136593;62935;59235;62087;53565;0;0;5103;7518;3994;10679;1437;1524
1998;3;Steinburg - Dithmarschen-Süd;1;0;164311;135219;132879;133053;64816;60547;58856;50058;0;0;4245;6770;3354;9794;1608;1543
1998;4;Rendsburg-Eckernförde;1;0;206958;173074;170824;170864;83317;76020;72379;62640;0;0;5731;10717;4822;13976;1629;2187
1998;5;Kiel;1;0;181661;144804;142879;142934;78512;70313;46022;40038;0;0;8572;14674;5064;9821;2440;3440
1998;6;Plön - Neumünster;1;0;161772;133368;131063;131528;67049;62719;52527;46064;0;0;5012;7613;3424;8805;0;1934
1998;7;Pinneberg;1;0;219335;185688;182716;183771;87477;82539;76822;65095;0;0;8635;12138;6136;15198;2195;2709
1998;8;Segeberg - Stormarn-Nord;1;0;236834;197410;194954;195016;91101;85023;86052;72638;0;0;6730;11637;5729;16575;2283;2902
1998;9;Ostholstein;1;0;170600;141180;138289;139226;66382;62520;62557;52773;0;0;4829;7101;3710;10378;0;1634
1998;10;Herzogtum Lauenburg - Stormarn-Süd;1;0;242213;206530;204352;204125;96165;87433;87455;75247;0;0;7695;13665;5701;17035;2100;2979
1998;11;Lübeck;1;0;166635;130874;128732;128527;66083;61813;47966;41885;0;0;6172;9593;3616;8100;1757;2349
1998;12;Hamburg-Mitte;2;0;153136;118045;116132;116538;59100;55667;31776;28057;0;0;14749;16690;3188;5980;3215;3838
1998;13;Hamburg-Altona;2;0;166818;136883;135045;135420;64928;55668;49433;41292;0;0;12457;18714;3428;10161;0;3790
1998;14;Hamburg-Eimsbüttel;2;0;179558;148514;146663;147208;73363;64538;49045;41972;0;0;14785;20781;4584;10326;0;3884
1998;15;Hamburg-Nord;2;0;199940;169596;167487;167959;78938;69380;66031;54785;0;0;13618;20194;4700;14342;0;3400
1998;16;Hamburg-Wandsbek;2;0;190476;156234;154142;154513;80126;74904;53890;47596;0;0;8806;11761;4116;9601;2294;2950
1998;17;Hamburg-Bergedorf;2;0;184360;144793;142217;142798;76066;70525;49401;44372;0;0;7011;9291;3257;7376;0;2741
1998;18;Hamburg-Harburg;2;0;139533;110579;108600;108925;58109;54594;38897;33682;0;0;4297;7227;1797;5049;1548;2000
1998;19;Aurich - Emden;3;0;181038;148851;146387;147151;87300;90594;42544;37992;0;0;9211;7140;3369;6475;1519;1391
1998;20;Unterems;3;0;215841;179170;177168;177573;77671;82866;87586;72016;0;0;5810;6425;4434;10558;1667;1300
1998;21;Friesland - Wilhelmshaven;3;0;155280;125803;124092;124757;66143;66793;43760;39939;0;0;5257;5321;3443;7013;1211;1157
1998;22;Oldenburg - Ammerland;3;0;235060;193954;191934;192464;98924;96418;66170;55860;0;0;15252;16972;7114;14917;2814;2875
1998;23;Delmenhorst - Wesermarsch - Oldenburg-Land;3;0;218870;180383;178270;179017;97991;96754;58783;52823;0;0;8226;9299;8153;12913;1890;1779
1998;24;Cuxhaven;3;0;156787;130288;128814;129277;69715;67193;48444;43593;0;0;5393;6032;2797;7149;0;1177
1998;25;Stade - Rotenburg I;3;0;208548;173808;172089;172604;85850;83812;72420;62002;0;0;6358;9449;3703;10615;1667;1801
1998;26;Mittelems;3;0;213987;181296;179667;180124;73609;72480;95714;85315;0;0;4657;6819;3934;11136;1288;913
1998;27;Cloppenburg - Vechta;3;0;191194;160262;157675;158742;47949;47434;97538;93414;0;0;5289;4779;4623;8980;938;745
1998;28;Diepholz;3;0;160150;132971;131780;132102;63763;65318;50003;42183;0;0;6488;7732;8603;11527;1257;1350
1998;29;Verden - Osterholz;3;0;182687;154535;153201;153486;81883;77223;52452;45539;0;0;9375;12359;4999;10771;1620;1995
