jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;zweitstimmegueltig;spd1;spd2;cdu1;cdu2;csu1;csu2;gru1;gru2;fdp1;fdp2;pds1;pds2
2002;1;Flensburg - Schleswig;1;0;217678;171856;170241;82845;74934;70366;62000;0;0;7440;15544;7052;12688;1930;2198
2002;2;Nordfriesland - Dithmarschen-Nord;1;0;181614;144507;142901;62899;60605;63230;57134;0;0;6331;9328;7602;11721;1592;1587
2002;3;Steinburg - Dithmarschen-Süd;1;0;175990;140495;138782;63559;57200;59689;53495;0;0;5314;10664;8261;12250;1765;1770
2002;4;Rendsburg-Eckernförde;1;0;195179;159411;157713;75617;67218;63594;58861;0;0;6788;14189;8039;12665;1608;1839
2002;5;Kiel;1;0;193933;152938;151281;81128;66983;46520;42270;0;0;10070;22767;9146;12530;3036;3255
2002;6;Plön - Neumünster;1;0;172971;139038;137563;65669;61286;53165;49259;0;0;6931;11682;6240;10549;1409;1680
2002;7;Pinneberg;1;0;223977;187495;185700;85773;77166;75910;65925;0;0;10717;18998;9607;15419;1911;2204
2002;8;Segeberg - Stormarn-Nord;1;0;228709;187998;186335;86883;76736;75283;68320;0;0;9310;17402;11057;16193;1972;2363
2002;9;Ostholstein;1;0;175045;141399;140005;67701;61583;57186;53548;0;0;5466;9978;7289;10963;1285;1336
2002;10;Herzogtum Lauenburg - Stormarn-Süd;1;0;228765;190571;188741;86859;75472;79704;71192;0;0;8726;18449;10032;15412;1922;2169
2002;11;Lübeck;1;0;178895;137518;135697;68775;64655;46823;43096;0;0;9199;13424;7290;9027;2568;2178
2002;12;Wismar - Nordwestmecklenburg - Parchim;12;1;218477;154794;151454;71254;69066;45373;42997;0;0;4371;5370;7060;8367;22263;21573
2002;13;Schwerin - Ludwigslust;12;1;184442;133843;131137;64755;61483;32818;33337;0;0;3328;5501;5796;6814;20410;20329
2002;14;Rostock;12;1;161960;115637;113556;51207;55109;24014;24444;0;0;10428;5711;4161;5259;21016;20682
2002;15;Stralsund - Nordvorpommern - Rügen;12;1;203657;138269;134399;46856;48591;56069;48795;0;0;2678;3976;5362;7070;21603;21912
2002;16;Greifswald - Demmin - Ostvorpommern;12;1;208696;143224;139558;52045;48643;53181;51958;0;0;2374;4123;7009;7929;21805;22512
2002;17;Bad Doberan - Güstrow - Müritz;12;1;240166;172265;167894;74593;70840;51386;50713;0;0;4727;5825;8938;9789;25419;26308
2002;18;Neubrandenburg - Mecklenburg-Strelitz - Uecker-Randow;12;1;194621;138548;135097;50865;51683;43321;42502;0;0;2898;3674;8662;7588;26776;25507
2002;19;Hamburg-Mitte;2;0;243210;182934;180923;97680;83033;47812;41684;0;0;20583;30634;8451;10725;3705;4980
