jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;zweitstimmegueltig;spd1;spd2;cdu1;cdu2;fdp1;fdp2;pds1;pds2;gru1;gru2;csu1;csu2
2009;1;Flensburg - Schleswig;1;0;225216;163329;159148;52139;41793;61793;51068;15292;24187;11918;13481;16399;21967;0;0
2009;2;Nordfriesland - Dithmarschen Nord;1;0;187047;134671;131453;36642;32239;56751;47947;15184;22605;8208;8836;12840;14927;0;0
2009;3;Steinburg - Dithmarschen Süd;1;0;177604;128320;125290;37277;31282;49779;43480;16037;21970;8896;9808;10665;12899;0;0
2009;4;Rendsburg-Eckernförde;1;0;198910;150018;146992;47610;39253;58876;49789;14317;23442;8729;9821;14790;18751;0;0
2009;5;Kiel;1;0;200347;145483;143220;54398;42369;42733;36397;12188;19156;11817;13430;18699;24659;0;0
2009;6;Plön - Neumünster;1;0;175132;127971;124940;41683;35557;48136;40110;12515;19772;7871;8936;12187;15701;0;0
2009;7;Pinneberg;1;0;232899;176188;172995;54950;45540;70458;57203;17018;28640;11794;13412;16143;20978;0;0
2009;8;Segeberg - Stormarn-Nord;1;0;240010;180295;176992;54065;44445;70290;58225;20084;31407;12527;14280;16633;21245;0;0
2009;9;Ostholstein;1;0;179987;131917;128823;43765;36329;49363;42193;14397;22701;8235;9342;10411;13651;0;0
2009;10;Herzogtum Lauenburg - Stormarn-Süd;1;0;237144;181568;178309;53073;45354;70874;59075;19742;30714;12351;13855;18761;22240;0;0
2009;11;Lübeck;1;0;180424;124624;121340;44393;36578;36745;32970;13296;17173;10973;12002;14098;16764;0;0
2009;12;Wismar - Nordwestmecklenburg - Parchim;13;1;216789;136923;134809;27590;25047;45383;44340;9969;12865;40419;38466;6520;7139;0;0
2009;13;Schwerin - Ludwigslust;13;1;183166;120292;118564;30247;24464;34633;36653;9401;11405;33681;32623;6353;6833;0;0
2009;14;Rostock;13;1;198527;130659;128748;25389;23223;34517;34759;8517;12234;41539;40045;13727;10772;0;0
2009;15;Stralsund - Nordvorpommern - Rügen;13;1;199517;119369;117100;14040;15048;57865;43650;5668;13087;30935;33522;3735;5349;0;0
2009;16;Greifswald - Demmin - Ostvorpommern;13;1;204944;123824;121500;15995;14941;46147;44679;10414;12686;35385;34198;5736;6241;0;0
2009;17;Bad Doberan - Güstrow - Müritz;13;1;211429;132878;130552;28457;22778;45176;44654;9485;13038;35601;36412;6255;6762;0;0
2009;18;Neubrandenburg - Mecklenburg-Strelitz - Uecker-Randow;13;1;185926;118231;115994;19696;18106;38102;38746;8015;9888;37851;36270;4500;4745;0;0
2009;19;Hamburg-Mitte;2;0;252967;167220;165131;56809;46419;43587;38689;12818;19105;21718;22702;27213;27865;0;0
2009;20;Hamburg-Altona;2;0;173956;130630;129336;46522;32633;38969;33916;10517;17028;12605;15670;17799;24462;0;0
2009;21;Hamburg-Eimsbüttel;2;0;186357;142023;140725;33364;37722;43714;37695;11732;18851;12540;14732;36518;25819;0;0
2009;22;Hamburg-Nord;2;0;207016;163012;161655;53469;40909;61873;50174;12766;25269;10805;13429;21268;26306;0;0
2009;23;Hamburg-Wandsbek;2;0;217147;150049;148363;51460;42705;53958;44770;11408;20181;14021;16205;13914;17518;0;0
2009;24;Hamburg-Bergedorf - Harburg;2;0;219191;143119;141128;54965;42554;46303;41423;10727;16709;14430;16358;11728;16484;0;0
2009;25;Aurich - Emden;3;0;189804;132885;130764;57876;50682;33706;32155;9314;13619;13213;14978;14451;13641;0;0
2009;26;Unterems;3;0;231076;164653;162517;47481;44913;73405;63545;15470;20731;12062;14219;11981;12222;0;0
2009;27;Friesland - Wilhelmshaven;3;0;190546;132735;130796;51851;40610;42211;38728;12283;19204;12055;13572;9794;12009;0;0
2009;28;Oldenburg - Ammerland;3;0;215591;158347;156857;49020;42551;55610;44090;13840;22917;14080;15244;21651;24171;0;0
2009;29;Delmenhorst - Wesermarsch - Oldenburg-Land;3;0;226440;161584;159763;55374;45895;56273;49810;16163;23109;13751;15906;14446;16731;0;0
2009;30;Cuxhaven - Stade II;3;0;189058;135824;134249;50481;40643;51654;46707;10426;17146;10307;11920;8379;11885;0;0
2009;31;Stade I - Rotenburg II;3;0;192956;142114;140690;46851;37784;62035;51303;9946;20056;9096;10541;9409;14253;0;0
2009;32;Mittelems;3;0;226979;169078;167528;43503;39085;91378;79052;13278;23749;8195;9169;9819;11357;0;0
2009;33;Cloppenburg - Vechta;3;0;212449;148935;147510;28053;24358;91686;80355;12700;23001;6927;7518;6575;7827;0;0
2009;34;Diepholz - Nienburg I;3;0;193411;141838;140523;48313;38955;52599;47565;15928;22067;9775;11701;11917;13999;0;0
2009;35;Osterholz - Verden;3;0;192320;144883;143546;52397;41979;53080;45908;10787;17889;12242;13830;12318;17053;0;0
2009;36;Rotenburg I - Soltau-Fallingbostel;3;0;168573;121941;120615;42395;33279;48344;42324;9895;16930;8366;9759;9101;12155;0;0
2009;37;Harburg;3;0;191159;148918;147366;45002;36139;59657;50104;15812;24967;9611;10825;13772;18002;0;0
2009;38;Lüchow-Dannenberg - Lüneburg;3;0;177098;131466;130100;40411;32321;43229;37291;11242;16323;11935;13166;19645;23543;0;0
2009;39;Osnabrück-Land;3;0;197143;144630;143277;46028;37936;63175;55599;12940;21117;9006;10211;10393;13227;0;0
2009;40;Stadt Osnabrück;3;0;192473;143711;142341;46979;38000;54522;48398;14823;19941;9918;11878;14282;18463;0;0
2009;41;Nienburg II - Schaumburg;3;0;198376;143398;142022;58649;46797;52714;45750;8712;17698;8797;10847;10217;13815;0;0
2009;42;Stadt Hannover I;3;0;180088;131369;129988;50592;40497;42621;34448;9699;16680;10624;12111;13364;19019;0;0
2009;43;Stadt Hannover II;3;0;190623;140587;139195;55068;41482;44534;33872;8657;16098;12886;14786;15797;24705;0;0
2009;44;Hannover-Land I;3;0;232214;175757;173993;67178;53236;66311;58219;14560;24492;11173;12601;11642;16993;0;0
2009;45;Celle - Uelzen;3;0;217316;157137;155436;50107;42402;68572;55393;11351;22295;10130;11765;10801;14770;0;0
2009;46;Gifhorn - Peine;3;0;216957;161017;159195;64365;52292;58827;53085;10073;17875;11663;13314;9476;14217;0;0
2009;47;Hameln-Pyrmont - Holzminden;3;0;197394;143185;141237;55842;47115;49787;41166;10401;19736;11820;12911;10849;13322;0;0
2009;48;Hannover-Land II;3;0;239450;183314;181309;73215;59493;65573;57144;12982;22004;11976;13908;12533;18936;0;0
2009;49;Hildesheim;3;0;222804;167520;165718;64555;54487;60376;52747;10231;18752;11402;13429;14856;17360;0;0
2009;50;Salzgitter - Wolfenbüttel;3;0;213208;157578;155411;69631;53144;50519;47719;9436;16479;12538;15569;9032;13744;0;0
2009;51;Braunschweig;3;0;189975;139948;138413;53572;39774;47584;40135;7507;15845;10801;13763;12012;19831;0;0
2009;52;Helmstedt - Wolfsburg;3;0;187831;135261;133471;46064;42391;52427;45319;8480;14114;10216;11309;10692;11801;0;0
2009;53;Goslar - Northeim - Osterode;3;0;214330;156221;154174;60107;50912;54451;46256;12719;21481;14083;14988;9624;12983;0;0
2009;54;Göttingen;3;0;224468;166515;164607;60483;48788;56503;47343;10765;22086;12493;14635;21360;23708;0;0
2009;55;Bremen I;4;0;256131;188189;186090;62588;52387;53255;46284;13587;21021;21226;24883;31564;32556;0;0
