jahr;wkr_nr;wkr_name
2013;1;Flensburg – Schleswig
2013;2;Nordfriesland – Dithmarschen Nord
2013;3;Steinburg – Dithmarschen Süd
2013;4;Rendsburg-Eckernförde
2013;5;Kiel
2013;6;Plön – Neumünster
2013;7;Pinneberg
2013;8;Segeberg – Stormarn-Mitte
2013;9;Ostholstein – Stormarn-Nord
2013;10;Herzogtum Lauenburg – Stormarn-Süd
2013;11;Lübeck
2013;12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I
2013;13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I
2013;14;Rostock – Landkreis Rostock II
2013;15;Vorpommern-Rügen – Vorpommern-Greifswald I
2013;16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II 
2013;17;Mecklenburgische Seenplatte II – Landkreis Rostock III
2013;18;Hamburg-Mitte
2013;19;Hamburg-Altona
2013;20;Hamburg-Eimsbüttel
2013;21;Hamburg-Nord
2013;22;Hamburg-Wandsbek
2013;23;Hamburg-Bergedorf – Harburg
2013;24;Aurich – Emden
2013;25;Unterems
2013;26;Friesland – Wilhelmshaven – Wittmund
2013;27;Oldenburg – Ammerland
2013;28;Delmenhorst – Wesermarsch – Oldenburg-Land
2013;29;Cuxhaven – Stade II
2013;30;Stade I – Rotenburg II
2013;31;Mittelems
2013;32;Cloppenburg – Vechta
2013;33;Diepholz – Nienburg I
2013;34;Osterholz – Verden
2013;35;Rotenburg I – Heidekreis
2013;36;Harburg
2013;37;Lüchow-Dannenberg – Lüneburg
2013;38;Osnabrück-Land
2013;39;Stadt Osnabrück
2013;40;Nienburg II – Schaumburg
2013;41;Stadt Hannover I
2013;42;Stadt Hannover II
2013;43;Hannover-Land I
2013;44;Celle – Uelzen
2013;45;Gifhorn – Peine
2013;46;Hameln-Pyrmont – Holzminden
2013;47;Hannover-Land II
2013;48;Hildesheim
2013;49;Salzgitter – Wolfenbüttel
2013;50;Braunschweig
2013;51;Helmstedt – Wolfsburg
2013;52;Goslar – Northeim – Osterode
2013;53;Göttingen
2013;54;Bremen I
2013;55;Bremen II – Bremerhaven
2013;56;Prignitz – Ostprignitz-Ruppin – Havelland I
2013;57;Uckermark – Barnim I
2013;58;Oberhavel – Havelland II
2013;59;Märkisch-Oderland – Barnim II
2013;60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I
2013;61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II
2013;62;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I
2013;63;Frankfurt (Oder) – Oder-Spree
2013;64;Cottbus – Spree-Neiße
2013;65;Elbe-Elster – Oberspreewald-Lausitz II
2013;66;Altmark
2013;67;Börde – Jerichower Land
2013;68;Harz
2013;69;Magdeburg
2013;70;Dessau – Wittenberg
2013;71;Anhalt
2013;72;Halle
2013;73;Burgenland – Saalekreis
2013;74;Mansfeld
2013;75;Berlin-Mitte
2013;76;Berlin-Pankow
2013;77;Berlin-Reinickendorf
2013;78;Berlin-Spandau – Charlottenburg Nord
2013;79;Berlin-Steglitz-Zehlendorf
2013;80;Berlin-Charlottenburg-Wilmersdorf
2013;81;Berlin-Tempelhof-Schöneberg
