"wknr";"cdsu_names";"spd_names";"fdp_names";"gru_names";"lin_names";"cdsu1share";"spd1share";"fdp1share";"gru1share";"lin1share"
1;"Dr Sabine Sütterlin-Waack   ";"Dirk Peddinghaus  ";"Carsten-Peter Brodersen  ";"Marlene Löhr  ";"Heinz-Werner Jezewski  ";0.425;0.372;0.019;0.078;0.046
2;"Ingbert Liebing   ";"Matthias Ilgen  ";"Ulrich Schmück  ";"Arfst Wagner  ";"Norbert Meixner  ";0.498;0.321;0.024;0.065;0.036
3;"Marc André Helfrich   ";"Dr Karin Thissen  ";"Wolfgang Kubicki  ";"Erika Ingeborg von Kalben  ";"Marcel Scherwien Mansouri  ";0.454;0.34;0.051;0.051;0.039
4;"Dr Johann David Wadephul   ";"Sönke Rix  ";"Christine Aschenberg-Dugnus  ";"Detlef Martin Matthiessen  ";"Stefan Karstens  ";0.452;0.368;0.019;0.07;0.033
5;"Thomas Stritzl  ";"Dr Hans-Peter Bartels   ";"Sebastian Blumenthal  ";"Luise Amtsberg  ";"Raju Sharma  ";0.331;0.43;0.021;0.1;0.053
6;"Dr Philipp Alexander Murmann   ";"Dr Birgit Malecha-Nissen  ";"Martin Josef Wolf  ";"Bernhard Dierdorf  ";"Lorenz Gösta Beutin  ";0.437;0.375;0.018;0.064;0.038
7;"Dr Ole Schröder   ";"Dr Ernst Dieter Rossmann  ";"Olaf Klampe  ";"Dr Valerie Wilms  ";"Cornelia Ilse Möhring  ";0.454;0.361;0.019;0.064;0.039
8;"Gero Storjohann   ";"Franz Thönnes  ";"Klaus-Peter Eberhard  ";"Peter Ferdinand Stoltenberg  ";"Miro Volker Berbig  ";0.454;0.353;0.021;0.061;0.039
9;"Ingo Gädechens   ";"Bettina Hagedorn  ";"Dr Bernd Klaus Buchholz  ";"Maria-Elisabeth Fritzen  ";"Karin Kohlmorgen  ";0.458;0.372;0.023;0.054;0.035
10;"Norbert Brackmann   ";"Dr Nina Scheer  ";"Dr Christel Erika Happach-Kasan  ";"Dr Konstantin von Notz  ";"Ilka Daniela Wenzelis  ";0.452;0.346;0.022;0.07;0.038
11;"Alexandra Dinges-Dierig  ";"Gabriele Therese Hedwig Hiller-Ohm   ";"Gerrit Koch  ";"Spiridon Aslanidis  ";"Jens Uwe Schulz  ";0.364;0.407;0.024;0.077;0.054
12;"Dietrich Monstadt   ";"Hans-Joachim Hacker  ";"Thomas Heldberg  ";"Frank Fiedler  ";"Dr Dietmar Gerhard Bartsch  ";0.39;0.259;0.015;0.036;0.222
13;"Karin Strenz   ";"Frank Michael Junge  ";"René Domke  ";"Ulrike Seemann-Katz  ";"Dr Gertrud Paula Martina Bunge  ";0.43;0.228;0.016;0.034;0.229
14;"Peter Stein   ";"Christian Kleiminger  ";"Hagen Reinhold  ";"Dr Frank Harald Terpe  ";"Steffen Bockhahn  ";0.35;0.184;0.011;0.075;0.307
15;"Dr Angela Dorothea Merkel   ";"Sonja Amalie Steffen  ";"Gino Leonhard  ";"Claudia Heike Müller  ";"Karin Kerstin Kassner  ";0.562;0.14;0.008;0.031;0.193
16;"Matthias Lietz   ";"Holm Henning Freier  ";"Christian Bartelt  ";"Ralf Peter Siegfried Hässelbarth  ";"Torsten Martin Koplin  ";0.459;0.157;0.018;0.023;0.239
17;"Eckhardt Rehberg   ";"Jeannine Pflugradt  ";"Dr Dietrich-Eckard Krause  ";"Heidelinde Sylke Kerstin Felgner  ";"Heidrun Bluhm  ";0.47;0.187;0.015;0.031;0.227
18;"Dirk Christian Marx  ";"Johannes Kahrs   ";"Dr Najibulla Karim  ";"Katharina Fegebank  ";"Dr Karl Hans-Joachim Hanisch  ";0.282;0.392;0.017;0.119;0.095
19;"Marcus Weinberg  ";"Dr Matthias Bartke   ";"Paul Lorenz Flemming  ";"Dr Hans Anjes Tjarks  ";"Jan Paul van Aken  ";0.325;0.349;0.02;0.136;0.102
20;"Rüdiger Kruse  ";"Niels Annen   ";"Burkhardt Müller-Sönksen  ";"Anna Gallina  ";"Kersten Angela Artus  ";0.333;0.375;0.023;0.13;0.069
21;"Dirk Erik Fischer   ";"Christian Carstensen  ";"Sylvia Canel  ";"Anja Margarete Helene Hajduk  ";"Herbert Heinrich Paul Schulz  ";0.397;0.348;0.024;0.119;0.047
22;"Frank Thorsten Schira  ";"Aydan Özoguz   ";"Klaus-Dieter Abend  ";"Katja Husen  ";"Cornelia Lieselotte Kerth  ";0.373;0.399;0.019;0.064;0.066
23;"Dr Herlind Magdalena Gundelach  ";"Metin Hakverdi   ";"Dr Kurt Carlos Duwe  ";"Manuel Sarrazin  ";"Sabine Böddinghaus  ";0.356;0.404;0.016;0.064;0.075
24;"Heiko Schmelzle  ";"Johann Saathoff   ";"Stephan Bünting  ";"Thilo Hoppe  ";"Marco Notman  ";0.323;0.503;0.016;0.096;0.048
25;"Gitta Connemann   ";"Markus Paschke  ";"Hans-Michael Goldmann  ";"Harald Kleem  ";"Charlotte Lenzen  ";0.547;0.312;0.026;0.051;0.039
26;"Hans-Werner Kammer  ";"Karin Evers-Meyer   ";"Lübbo Meppen  ";"Victor Alexander von Fintel  ";"Ralph Thomas Niemeyer  ";0.397;0.441;0.023;0.056;0.051
27;"Stephan Albani  ";"Dennis Rohde   ";"Dr Christiane Ratjen-Damerau  ";"Peter Meiwald  ";"Martin Alexander Michels  ";0.368;0.374;0.025;0.115;0.054
28;"Astrid Grotelüschen   ";"Susanne Mittag  ";"Angelika Brunkhorst  ";"Dragos Pancescu  ";"Thomas Bartsch  ";0.398;0.393;0.033;0.061;0.045
29;"Enak Ferlemann   ";"Gunnar Wegener  ";"Karl Behn  ";"Eva Viehoff  ";"Guido Hagelstede  ";0.468;0.364;0.014;0.061;0.036
30;"Oliver Grundmann   ";"Oliver Kellmer  ";"Serkan Tören  ";"Michael Lemke  ";"Michael Quelle  ";0.476;0.341;0.017;0.063;0.034
31;"Albert Stegemann   ";"Dr Daniela Ridder De  ";"Manuel Nehmer  ";"Birgit Kemmer  ";"Heinz Georg von Wensiersky  ";0.59;0.29;0.016;0.05;0.027
32;"Franz-Josef Holzenkamp   ";"Gabriele Groneberg  ";"Peter Friedhoff  ";"Josef Diersen  ";"Günter Kreßmann  ";0.663;0.213;0.018;0.037;0.025
33;"Axel Knoerig   ";"Dr Christoph Lanzendörfer  ";"Marcel Schiller  ";"Torsten Eggelmann  ";"Ingo Waschner  ";0.475;0.334;0.02;0.075;0.035
34;"Andreas Mattfeldt   ";"Christina Jantz  ";"Cédric Kamlah  ";"Erich von Hofe  ";"Herbert Behrens  ";0.44;0.374;0.009;0.068;0.05
